id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,property_type,is_superhost,cancellation_policy
1001,Cozy Studio in Manhattan,1234,Alice Johnson,Manhattan,Midtown,"40.75362N","-73.98377W",Private room,"$120",2,15,2019-05-21,"0.45",1,200,Apartment,true,flexible
1002,Bright Brooklyn Apartment,2345,Bob Smith,Brooklyn,Williamsburg,"40.71427N","-73.95027W",Entire home/apt,"$180",3,30,2019-06-15,"0.75",2,300,House,false,moderate
1003,Spacious Queens Room,3456,Carol White,Queens,Astoria,"40.77221N","-73.93042W",Private room,"$85",1,22,2019-04-10,"0.55",1,150,Apartment,true,flexible
1004,Sunny Bronx Studio,4567,David Brown,Bronx,Mott Haven,"40.80902N","-73.92389W",Entire home/apt,"$95",2,8,2019-03-22,"0.25",1,100,Condo,false,strict
1005,Staten Island Retreat,5678,Eve Davis,Staten Island,St. George,"40.64449N","-74.07599W",Private room,"$70",1,5,2019-02-14,"0.15",1,250,House,false,moderate
1006,Modern Harlem Loft,6789,Frank Miller,Manhattan,Harlem,"40.81096N","-73.94621W",Entire home/apt,"$150",2,40,2019-07-01,"1.20",3,180,Apartment,true,flexible
1007,Cozy Bed Stuy Room,7890,Grace Lee,Brooklyn,Bedford-Stuyvesant,"40.68688N","-73.94475W",Private room,"$65",1,18,2019-05-30,"0.60",1,365,Apartment,true,flexible
1008,Long Island City Flat,8901,Henry Wilson,Queens,Long Island City,"40.74816N","-73.94808W",Entire home/apt,"$200",3,12,2019-06-20,"0.40",2,120,Condo,false,strict
1009,Affordable Bronx Room,9012,Ivy Taylor,Bronx,Fordham,"40.86037N","-73.89468W",Private room,"$55",1,3,2019-01-10,"0.10",1,80,House,false,moderate
1010,Charming East Village,1122,Jack Anderson,Manhattan,East Village,"40.72638N","-73.98107W",Entire home/apt,"$220",2,55,2019-08-05,"1.80",4,300,Apartment,true,flexible
